,CASRN,Synonym,id,Dup_Name_Flag
1089,50-23-7,Proctocort,,True
1092,50-23-7,Hidrocortisona,,True
1093,50-23-7,Hydrocortisonum,,True
962,50-23-7,Cortril,,True
999,50-23-7,Hydrocortone,,True
990,50-23-7,Hydro-Adreson,,True
2201,50-49-7,5-20-08-00096 (Beilstein Handbook Reference),,True
3177,50-79-3,4-09-00-01005 (Beilstein Handbook Reference),,True
3309,50-82-8,4-09-00-01010 (Beilstein Handbook Reference),,True
3315,50-84-0,4-09-00-00998 (Beilstein Handbook Reference),,True
4629,51-64-9,Amsustain,,True
5159,52-21-1,Sterane,,True
5158,52-21-1,Meticortelone,,True
6134,53-03-2,Fernisone,,True
6165,53-06-5,Cortone,,True
6977,54-03-5,Ustimon,,True
7069,54-05-7,Khingamin,,True
7064,54-05-7,RP 3377,,True
7001,54-05-7,Aralen,,True
8236,55-06-1,L-Thyroxine monosodium salt,,True
8420,55-43-6,Sympatholytin,,True
8942,55-86-7,Embichin,,True
8937,55-86-7,NSC 762,,True
8892,55-86-7,C 6866,,True
8898,55-86-7,Caryolysine,,True
8902,55-86-7,Chlormethinum,,True
9427,56-29-1,Narcosan,,True
9432,56-29-1,Sombulex,,True
9428,56-29-1,Noctivane,,True
9794,56-47-3,Decortin,,True
9975,56-53-1,Menostar,,True
10000,56-54-2,Quinidex,,True
10618,56-92-8,Histamine HCl,,True
10680,56-95-1,Nolvasan,,True
11289,57-30-7,Linasen,,True
11264,57-30-7,Phenemalum,,True
11533,57-42-1,Demerol,,True
11769,57-53-4,Deprol,,True
12469,57-88-5,Provitamin D,,True
12903,58-18-4,Oreton,,True
12845,58-18-4,Homandren,,True
13014,58-22-0,Testoviron,,True
13019,58-22-0,Virormone,,True
13002,58-22-0,Testex,,True
12992,58-22-0,Perandren,,True
13184,58-28-6,Pertofrane,,True
14313,58-93-5,Hydrex,,True
14583,59-05-2,Emtexate,,True
14739,59-26-7,Nikotin,,True
15557,59-67-6,Nicoside,,True
15555,59-67-6,Nicorol,,True
15536,59-67-6,Naotin,,True
15779,59-92-7,DA,,True
15915,59-98-3,Priscoline,,True
16194,60-11-7,Oil Yellow 2G,,True
16692,60-34-4,4-04-00-03322 (Beilstein Handbook Reference),,True
16936,60-54-8,Achromycin,,True
17290,60-87-7,Prometazina,,True
17288,60-87-7,Promethegan,,True
17286,60-87-7,Promethacon,,True
17223,60-87-7,Atosil,,True
17877,61-68-7,Fenamin,,True
18412,62-33-9,Versene,,True
18570,62-38-4,Parasan,,True
18581,62-44-2,4-13-00-01092 (Beilstein Handbook Reference),,True
18612,62-44-2,Coricidin,,True
19532,63-68-3,Methilanin,,True
19764,63-92-3,Dibenzyline,,True
19757,63-92-3,NSC 37448,,True
19988,64-02-8,Versene,,True
20098,64-13-1,PMA,,True
20316,64-43-7,Eunoctal,,True
20315,64-43-7,Dorlotyn,,True
20317,64-43-7,Isomytal,,True
20294,64-43-7,Barbamyl,,True
20570,64-75-5,Tetracyn,,True
20568,64-75-5,Robitet,,True
20566,64-75-5,Panmycin,,True
20562,64-75-5,Achromycin,,True
20679,64-85-7,Desoxycortonum,,True
20737,64-95-9,Spasmolytin,,True
20792,65-22-5,Vitamin B6 hydrochloride,,True
20798,65-23-6,Gravidox,,True
20799,65-23-6,Hydoxin,,True
20830,65-28-1,Regitine,,True
20822,65-28-1,Phentolamine mesylate,,True
20821,65-28-1,Phentolamine mesilate,,True
20899,65-30-5,Black leaf 40,,True
21447,66-72-8,NSC 19613,,True
21750,67-03-8,Betabion,,True
22377,67-68-5,Herpid,,True
22411,67-72-1,Fasciolin,,True
22619,67-97-0,Vigantol,,True
23187,68-35-9,Diazyl (VAN),,True
23186,68-35-9,Diazyl,,True
23651,68-96-2,Proluton,,True
23729,69-09-0,Propaphenin,,True
23732,69-09-0,Thorazine,,True
24044,69-53-4,Pentrexyl,,True
24174,69-72-7,4-10-00-00125 (Beilstein Handbook Reference),,True
24364,70-00-8,F3T,,True
24633,70-30-4,Dial,,True
24586,70-30-4,HCP,,True
25802,72-20-8,"3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth(2,3-b)oxirene",,True
26484,73-07-4,Prazepine,,True
28352,75-64-9,Trimethylaminomethane,,True
29012,75-99-0,DPA,,True
29239,76-12-0,4-01-00-00146 (Beilstein Handbook Reference),,True
29492,76-25-5,Aristocort,,True
29517,76-25-5,Polcortolon,,True
29698,76-42-6,4-27-00-03681 (Beilstein Handbook Reference),,True
30085,76-74-4,Phenobarbitone,,True
30344,76-99-3,Amidon,,True
30704,77-19-0,Di-syntramine,,True
30870,77-30-5,Ortol,,True
31330,77-66-7,4-03-00-00117 (Beilstein Handbook Reference),,True
31897,77-94-1,4-03-00-01276 (Beilstein Handbook Reference),,True
32189,78-11-5,Nitrine,,True
32187,78-11-5,Nitrin,,True
32653,78-44-4,Mioartrina,,True
33848,79-11-8,MCA,,True
34143,79-34-5,Acetosal,,True
34618,79-81-2,Chocola A,,True
34614,79-81-2,Del-VI-A,,True
34613,79-81-2,Alphalin,,True
34612,79-81-2,Afaxin,,True
34615,79-81-2,Vi-Dom-A,,True
34600,79-81-2,Aquasol A,,True
34961,80-06-8,DMC,,True
34976,80-07-9,4-06-00-01587 (Beilstein Handbook Reference),,True
35917,80-62-6,MMA,,True
35962,80-68-2,Threonine,,True
36047,80-77-3,Fenarol,,True
36125,80-99-9,Cholesterin,,True
36223,81-11-8,DAS,,True
37582,82-45-1,4-14-00-00429 (Beilstein Handbook Reference),,True
38081,83-12-5,PID,,True
38169,83-28-3,4-07-00-02791 (Beilstein Handbook Reference),,True
38324,83-43-2,Medrol,,True
38798,83-79-4,Nusyn-noxfish,,True
38935,83-89-6,Erion,,True
39016,84-02-6,Compazine,,True
39183,84-17-3,Mesohexestrol,,True
39196,84-17-3,Synestrol,,True
39223,84-19-5,Sexadien,,True
39220,84-19-5,Hormofemin,,True
39218,84-19-5,Estraguard,,True
39217,84-19-5,Dienoestrolum,,True
39216,84-19-5,Dienoestrol,,True
39214,84-19-5,Cycladiene,,True
40363,85-70-1,4-09-00-03256 (Beilstein Handbook Reference),,True
