,subst_name,synonym,casrn,N,Nh,role,delta_d,delta_p,delta_h,mol_vol,src_id,src_ref,boil_pt,flash_pt,chem21_safety,chem21_health,chem21_env,chem21_rank,prop_src_id
0,Acetic acid,Ethanoic acid,64-19-7,4,8,solvent,14.5,8,13.5,57.1,1,A1.5,118,39,3,7,3,2,2
1,Acetic anhydride,Acetyl acetate,108-24-7,7,13,solvent rx,16,11.7,10.2,94.5,1,A1.6,139,49,3,7,3,2,2
2,Acetone,Dimethyl ketone,67-64-1,4,10,solvent,15.5,10.4,7,74,1,A1.7,56,-18,5,3,5,1,2
3,Acetonitrile,Methyl cyanide,75-05-8,3,6,solvent,15.3,18,6.1,52.6,1,A1.10,82,2,4,3,3,2,2
4,Acetophenone,Acetylbenzene,98-86-2,9,17,solvent,19.6,8.6,3.7,117.4,1,A1.11,,,,,,,
5,Acrylic acid,Vinylformic acid,79-10-7,5,9,solvent rx,17.7,6.4,14.9,68.5,1,A1.24,,,,,,,
6,Acrylonitrile,2-Propenenitrile,107-13-1,4,7,solvent rx,16,12.8,6.8,67.1,1,A1.25,,,,,,,
7,Aniline,Arylamine,62-53-3,7,14,solvent rx,19.4,5.1,10.2,91.5,1,A1.46,,,,,,,
8,Anisole,Phenoxymethane,100-66-3,8,16,solvent,17.8,4.1,6.7,119.1,1,A1.48,154,52,4,1,5,1,2
9,Artificial almond oil,Benzaldehyde,100-52-7,8,14,solvent,19.4,7.4,5.3,101.5,1,A1.51,,,,,,,
10,Benzene,Cyclohexatriene,71-43-2,6,12,solvent,18.4,0,2,89.4,1,A1.52,80,-11,6,10,3,4,2
11,Benzenemethanol,Benzyl alcohol,100-51-6,8,16,solvent rx,18.4,6.3,13.7,103.6,1,A1.58,206,101,1,2,7,2,2
12,"1,2-Benzenedicarboxylic acid, butyl phenylmethyl ester",Butyl benzyl phthalate,85-68-7,23,43,plasticizer,19,11.2,3.1,306,1,A1.59,,,,,,,
13,Benzyl methacrylate,"Methacrylic acid, benzyl ester",2495-37-6,13,25,solvent rx,16.8,4.1,4.1,167.8,1,A1.61,,,,,,,
14,alpha-Bromonaphthalene,1-Naphthyl bromide,90-11-9,11,19,solvent rx,20.3,3.1,4.1,140,1,A1.75,,,,,,,
15,Butanediol diacrylate,Tetramethylene diacrylate,1070-70-8,13,25,solvent rx,16.8,9.1,4.2,194.4,1,A1.88,,,,,,,
16,"1,3-Butanediol",Methyltrimethylene glycol,107-88-0,6,16,solvent rx,16.6,10,21.5,89.9,1,A1.90,,,,,,,
17,n-Butanol,Methylolpropane,71-36-3,5,15,solvent,16,5.7,15.8,91.5,1,A1.92,118,29,3,4,3,1,2
18,2-Butanol,2-Hydroxybutane,78-92-2,5,15,solvent,15.8,5.7,14.5,92,1,A1.92 [93],107,28,3,4,3,1,2
19,1-(2-Butoxyethoxy)-2-propanol,"4,7-Dioxaundecan-2-ol",124-16-3,12,31,solvent,15.5,6.5,10.2,185.9,1,A1.101,,,,,,,
