group,V,Ed,Ep,Eh
CH3,33.5,2468.599679,0,0
CH2<,16.1,4938.3,0,0
-CH<,-1,3431.7,0,0
>C<,-19.2,1464.75,0,0
CH2=,28.5,3557.25,104.625,753.3
-CH=,13.5,3661.875,75.33,753.3
>C=,-5.5,3348,251.1,753.3
CH#,13.5,3661.875,75.33,753.3
-C#,-5.5,3348,251.1,753.3
Arom_CH,14.6,5426.55,34.875,34.875
Arom_C_noH,-4.4,5112.675,210.645,210.645
C5_ring_unsat,16,1046.25,0,0
C6_ring_nonaro,16,1046.25,0,0
F1,18,0,4185,0
F2 ,40,0,2929.5,0
F3 ,66,0,2929.5,0
F1_arom,22,0,2929.5,0
F2_arom,48,0,2092.5,0
Cl1,24,5859,5231.25,418.5
Cl2 ,52,15275.25,3348,690.525
Cl3 ,81.9,19878.75,1255.5,1464.75
Cl1_arom,28,5440.5,3348,418.5
Cl2_arom,60,12973.5,1674,753.3
Br1,30,8160.75,5231.25,2092.5
Br2 ,62,17995.5,3348,3452.625
Br3 ,97.2,24273,1464.75,6277.5
Br1_arom,34,6277.5,3348,2092.5
Br2_arom,70,17995.5,1674,3348
I1,31.5,9834.75,5231.25,4185
I2 ,66.6,23017.5,3348,6905.25
I3 ,111,34526.25,5022,10357.875
I1_arom,35.5,9207,2406.375,4185
I2_arom,74.6,23017.5,1674,7533
-O-_al,3.8,0,2092.5,1883.25
-O-_cycloal,3.8,0,2511,1883.25
-O-_arom,3.8,0,1883.25,5022
-OH_al,10,7407.45,2929.5,19460.25
-OH_cycloal,10,5733.45,4603.5,19460.25
-OH_arom,10,7825.95,3348,19460.25
>C=O_al,10.8,9834.75,627.75,3348
>C=0_cycloal,10.8,9834.75,238.948626,3348
>C=0_arom,10.8,11718,3975.75,1674
-COH_al,23.2,3975.75,8788.5,4185
-COH_cycloal,23.2,3975.75,12555,4185
-COH_arom,31.4,2301.75,11508.75,3138.75
-COO_ester_al,18,9834.75,2343.6,5231.25
-COO_ester_cycloal,18,9834.75,2343.6,5231.25
-COO_ester_arom,18,11718,14145.3,1987.875
-COOH_al,28.5,14019.75,2092.5,11508.75
-COOH_cycloal,28.5,14856.75,1255.5,11508.75
-COOH_arom,28.5,15066,3138.75,9416.25
=(OH)2_gem_al,6,-14814.9,418.5,-1255.5
=(OH)2_vic_al,6,-14814.9,418.5,-1255.5
=(OH)2_gem_cycloal,6,-11466.9,-2929.5,-1255.5
=(OH)2_vic_cycloal,6,-11466.9,-2929.5,-1255.5
=(OH)2_vic_arom,6,-15651.9,-418.5,0
-CN_al,24,6696,16740,2092.5
-CN_cycloal,24,6696,16740,2092.5
-CN_arom,24,0,15693.75,1674
-NO2_al,24,12555,15066,1674
-NO2_cycloal,24,12555,15066,1674
-NO2_arom,32,10671.75,7323.75,1464.75
-NH2_al,19.2,4394.25,2511,5649.75
-NH2_cycloal,19.2,4394.25,2511,5649.75
-NH2_arom,19.2,627.75,3348,9416.25
>NH_al,4.5,4812.75,418.5,3138.75
>NH_cycloal,4.5,4812.75,418.5,3138.75
>NH_arom,4.5,4812.75,418.5,3138.75
>NH_amide_al,6.7,14229,3138.75,11299.5
>NH_amide_cycloal,6.7,14229,2749.948626,11299.5
>NH_amide_arom,6.7,12345.75,7323.75,11299.5
=PO2_ester,28,0,3389.85,12555
anhydride_al,27,14752.125,3515.4,7846.875
anhydride_cycloal,27,14752.125,3515.4,7846.875
anhydride_arom,27,17577,21217.95,2981.8125
