solvent_id,nlm_num,subst_display_name,subst_category,delta_d,delta_p,delta_h,mol_vol,src_id,src_ref,boil_pt,flash_pt,chem21_safety,chem21_health,chem21_env,chem21_rank,prop_src_id
0,64197,Acetic acid (Ethanoic acid),solvent,14.5,8.0,13.5,57.1,1,A1.5,,,,,,,
1,108247,Acetic anhydride (Acetyl acetate),solvent rx,16.0,11.7,10.2,94.5,1,A1.6,,,,,,,
2,67641,Acetone (Dimethyl ketone),solvent,15.5,10.4,7.0,74.0,1,A1.7,56.0,-18.0,5.0,3.0,5.0,R,2.0
3,75058,Acetonitrile (Methyl cyanide),solvent,15.3,18.0,6.1,52.6,1,A1.10,,,,,,,
4,98862,Acetophenone (Acetylbenzene),solvent,19.6,8.6,3.7,117.4,1,A1.11,,,,,,,
5,79107,Acrylic acid (Vinylformic acid),solvent rx,17.7,6.4,14.9,68.5,1,A1.24,,,,,,,
6,107131,Acrylonitrile (2-Propenenitrile),solvent rx,16.0,12.8,6.8,67.1,1,A1.25,,,,,,,
7,62533,Aniline (Arylamine),solvent rx,19.4,5.1,10.2,91.5,1,A1.46,,,,,,,
8,100663,Anisole (Phenoxymethane),solvent,17.8,4.1,6.7,119.1,1,A1.48,154.0,52.0,4.0,1.0,5.0,R,2.0
9,100527,Artificial almond oil (Benzaldehyde),solvent,19.4,7.4,5.3,101.5,1,A1.51,,,,,,,
10,71432,Benzene (Cyclohexatriene),solvent,18.4,0.0,2.0,89.4,1,A1.52,,,,,,,
11,100516,Benzenemethanol (Benzyl alcohol),solvent rx,18.4,6.3,13.7,103.6,1,A1.58,206.0,101.0,1.0,2.0,7.0,P,2.0
12,85687,"1,2-Benzenedicarboxylic acid, butyl phenylmethyl ester (Butyl benzyl phthalate)",plasticizer,19.0,11.2,3.1,306.0,1,A1.59,,,,,,,
13,2495376,"Benzyl methacrylate (Methacrylic acid, benzyl ester)",solvent rx,16.8,4.1,4.1,167.8,1,A1.61,,,,,,,
14,90119,alpha-Bromonaphthalene (1-Naphthyl bromide),solvent rx,20.3,3.1,4.1,140.0,1,A1.75,,,,,,,
15,1070708,Butanediol diacrylate (Tetramethylene diacrylate),solvent rx,16.8,9.1,4.2,194.4,1,A1.88,,,,,,,
16,107880,"1,3-Butanediol (Methyltrimethylene glycol)",solvent rx,16.6,10.0,21.5,89.9,1,A1.90,,,,,,,
17,71363,n-Butanol (Methylolpropane),solvent,16.0,5.7,15.8,91.5,1,A1.92,118.0,29.0,3.0,4.0,3.0,R,2.0
18,78922,2-Butanol (2-Hydroxybutane),solvent,15.8,5.7,14.5,92.0,1,A1.92 [93],,,,,,,
19,124163,"1-(2-Butoxyethoxy)-2-propanol (4,7-Dioxaundecan-2-ol)",solvent,15.5,6.5,10.2,185.9,1,A1.101,,,,,,,
20,123864,"Acetic acid, butyl ester (Butyl ethanoate)",solvent,15.8,3.7,6.3,132.5,1,A1.102,126.0,22.0,4.0,2.0,3.0,R,2.0
21,141322,Butyl acrylate (Acrylic acid n-butyl ester),solvent rx,15.6,6.2,4.9,143.8,1,A1.104,,,,,,,
22,75650,tert-Butyl alcohol (Trimethyl methanol),solvent,15.2,5.1,14.7,95.8,1,A1.611,82.0,11.0,4.0,3.0,3.0,R,2.0
23,138227,n-Butyl lactate (Butyl 2-hydroxypropanoate),solvent,15.8,6.5,10.2,149.0,1,A1.107,,,,,,,
24,107926,Butyric acid (Ethylacetic acid),solvent,14.9,4.1,10.6,110.0,1,A1.114,,,,,,,
25,96480,Butyrolactone (4-Deoxytetronic acid),solvent rx,19.0,6.6,7.4,76.8,1,A1.115,,,,,,,
26,109740,Butanenitrile (1-Cyanopropane),solvent rx,15.3,12.4,5.1,87.3,1,A1.116,,,,,,,
27,627305,3-Chloro-1-propanol (Trimethylene chlorohydrin),solvent,17.5,5.7,14.7,84.2,1,A1.137,,,,,,,
28,108907,Chlorobenzene (Monochlorobenzene),solvent,19.0,4.3,2.0,102.1,1,A1.148,,,,,,,
29,109693,Butyl chloride (1-Chlorobutane),solvent,16.2,5.5,2.0,104.5,1,A1.152,,,,,,,
30,67663,Chloroform (Methane trichloride),solvent,17.8,3.1,5.7,80.7,1,A1.156,,,,,,,
31,108394,m-Cresol (3-Hydroxytoluene),solvent,18.0,5.1,12.9,104.7,1,A1.169,,,,,,,
32,110827,Cyclohexane (Hexanaphthene),solvent,16.8,0.0,0.2,108.7,1,A1.181,,,,,,,
33,108930,Cyclohexanol (Hydrophenol),solvent,17.4,4.1,13.5,106.0,1,A1.182,,,,,,,
34,108941,Cyclohexanone (Pimelic ketone),solvent,17.8,6.3,5.1,104.0,1,A1.183,156.0,43.0,3.0,2.0,5.0,P,2.0
35,108918,Cyclohexylamine (Hexahydroaniline),solvent,17.2,3.1,6.5,113.8,1,A1.184,,,,,,,
36,542187,Chlorocyclohexane (Cyclohexyl chloride),solvent,17.3,5.5,2.0,118.6,1,A1.185,,,,,,,
37,108838,Diisobutyl ketone (Isovalerone),solvent,16.0,3.7,4.1,177.1,1,A1.203,,,,,,,
38,123422,Diacetone alcohol (4-Hydroxy-4-methyl-2-pentanone),solvent rx,15.8,8.2,10.8,124.2,1,A1.209,,,,,,,
39,84742,"1,2-Benzenedicarboxylic acid, dibutyl ester (Dibutyl phthalate)",plasticizer,17.8,8.6,4.1,266.0,1,A1.221,,,,,,,
40,95501,o-Dichlorobenzene (Special termite fluid),solvent,19.2,6.3,3.3,112.8,1,A1.234,,,,,,,
41,109897,"Diethylamine (N,N-Diethylamine)",solvent,14.9,2.3,6.1,103.2,1,A1.252,,,,,,,
42,60297,Diethyl ether (Ether),solvent,14.5,2.9,5.1,104.8,1,A1.255,34.0,-45.0,10.0,3.0,7.0,X,2.0
43,352932,Diethyl sulfide (Thioethyl ether),solvent,16.8,3.1,2.0,107.4,1,A1.260,,,,,,,
44,111466,Diethylene glycol (Bis(2-hydroxyethyl) ether),solvent,16.6,12.0,20.7,94.9,1,A1.263,,,,,,,
45,124174,Butyl carbitol acetate (Diethylene glycol butyl ether acetate),solvent,16.0,4.1,8.2,208.2,1,A1.264,,,,,,,
46,112345,Butoxydiglycol (Diethylene glycol monobutyl ether),solvent,16.0,7.0,10.6,170.6,1,A1.267,,,,,,,
47,111900,Carbitol (Diethylene glycol ethyl ether),solvent,16.1,9.2,12.2,130.9,1,A1.268,,,,,,,
48,112152,Diethylene glycol monoethyl ether acetate (Ethoxydiglycol acetate),solvent,16.2,5.1,9.2,175.5,1,A1.269,,,,,,,
49,111773,"Diethylene glycol monomethyl ether (Ethanol, 2-(2-methoxyethoxy)-)",solvent,16.2,7.8,12.6,118.0,1,A1.270,,,,,,,
50,127195,Dimethylacetamide (DMAc),solvent,16.8,11.5,10.2,92.5,1,A1.285,,,,,,,
51,111966,Diethylene glycol dimethyl ether (Diglyme),solvent,15.8,6.1,9.2,142.0,1,A1.292,,,,,,,
52,108010,Deanol (Dimethylmonoethanolamine),solvent,16.1,9.2,15.3,101.1,1,A1.295,,,,,,,
53,68122,Dimethylformamide (DMF),solvent,17.4,13.7,11.3,77.0,1,A1.297,,,,,,,
54,131113,"1,2-Benzenedicarboxylic acid, dimethyl ester (Phthalic acid dimethyl ester)",plasticizer,18.6,10.8,4.9,163.0,1,A1.300,,,,,,,
55,67710,Dimethyl sulfone (Sulfonylbismethane),solvent,19.0,19.4,12.3,75.0,1,A1.302,,,,,,,
56,67685,Dimethyl sulfoxide (DMSO),solvent,18.4,16.4,10.2,71.3,1,A1.303,,,,,,,
57,103231,Bis(2-ethylhexyl)hexanedioate (Dioctyl adipate),plasticizer,16.7,2.0,5.1,400.0,1,[A1.1142],,,,,,,
58,117817,Bis(2-ethylhexyl) phthalate (Dioctyl phthalate),plasticizer,16.6,7.0,3.1,377.0,1,[A1.305],,,,,,,
59,123911,Dioxane (para-Dioxane),solvent,19.0,1.8,7.4,85.7,1,A1.306,101.0,12.0,7.0,6.0,3.0,H,2.0
